Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
01/16/2022,01:00 (ET),PHX@DET,Detroit Pistons,"Grant, Jerami",Out,Injury/Illness - Right Thumb; Sprain
"",,,"Jackson, Frank",Out,Health and Safety Protocols,
"",,,"Livers, Isaiah",Out,Injury/Illness - Right Foot; Soreness,
"",,,"McGruder, Rodney",Out,Return to Competition Reconditioning,
"",,,"Olynyk, Kelly",Out,Injury/Illness - Left Knee; Sprain,
"",,,"Pickett, Jamorko",Out,G League - Two-Way,
"",,,"Smith, Chris",Out,G League - Two-Way,
"",,Phoenix Suns,"Johnson, Cameron",Out,Injury/Illness - Left Ankle; Sprain,
"",,,"Kaminsky, Frank",Out,Injury/Illness - Right Knee; Stress reaction,
"",,,"Nader, Abdel",Out,Injury/Illness - Right Knee; Injury management,
"",,,"Saric, Dario",Out,Injury/Illness - Right Acl; Tear,
06:00 (ET),HOU@SAC,Houston Rockets,"Garuba, Usman",Out,G League - On Assignment,
"",,,"Nix, Daishen",Out,G League - Two-Way,
"",,,"Queen, Trevelin",Out,G League - Two-Way,
"",,Sacramento Kings,"Holmes, Richaun",Questionable,Return to Competition Reconditioning,
"",,,"Jones, Damian",Questionable,Return to Competition Reconditioning,
"",,,"Thompson, Tristan",Out,Injury/Illness - -; Non Covid Illness,
"",,,"Woodard II, Robert",Out,Health and Safety Protocols,
08:00 (ET),GSW@MIN,Golden State Warriors,"Curry, Stephen",Out,Injury/Illness - Right Hand; Soreness,
"","Green, Draymond",Out,Injury/Illness - Left Calf; Tightness,,,
"","Moody, Moses",Out,G League - On Assignment,,,
"","Payton II, Gary",Out,Injury/Illness - Low Back; Spasm,,,
"","Weatherspoon, Quinndary",Out,G League - Two-Way,,,
"","Wiseman, James",Out,Injury/Illness - Right Knee; Injury Recovery,,,
Minnesota Timberwolves,"Bolmaro, Leandro",Questionable,Return to Competition Reconditioning,,,
"McLaughlin, Jordan",Out,Health and Safety Protocols,,,,
"Nowell, Jaylen",Questionable,Injury/Illness - Left Ankle; Sprain,,,,
Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
"",,UTA@DEN,Denver Nuggets,"Cancar, Vlatko",Out,Injury/Illness - Right Foot; Surgery
"",,,"Dozier, P.J.",Out,Injury/Illness - Left Acl; Surgery,
"",,,"Green, JaMychal",Out,Health and Safety Protocols,
"",,,,"Howard, Markus",Out,G League - Two-Way
"",,,,"Murray, Jamal",Out,Injury/Illness - Left Knee; Injury Recovery
"",,,,"Porter Jr., Michael",Out,Injury/Illness - Lumbar Spine; Surgery
"",,,,"Rivers, Austin",Questionable,Injury/Illness - Non-covid; Illness
"",,,Utah Jazz,"Azubuike, Udoka",Available,Return to Competition Reconditioning
"",,,,"Butler, Jared",Out,Health and Safety Protocols
"",,,,"Gay, Rudy",Available,Return to Competition Reconditioning
"",,,,"Gobert, Rudy",Available,Return to Competition Reconditioning
"",,,,"Hughes, Elijah",Out,Health and Safety Protocols
"",,,,"Whiteside, Hassan",Out,Health and Safety Protocols
01/17/2022,12:30 (ET),NOP@BOS,Boston Celtics,,,NOT YET SUBMITTED
"",,New Orleans Pelicans,,,NOT YET SUBMITTED,
01:00 (ET),CHA@NYK,Charlotte Hornets,,,NOT YET SUBMITTED,
"",,New York Knicks,,,NOT YET SUBMITTED,
02:00 (ET),PHI@WAS,Philadelphia 76ers,"Green, Danny",Out,Injury/Illness - Right Hip; Pain,
"",,,"Milton, Shake",Out,Injury/Illness - Back; Contusion,
"",,,"Springer, Jaden",Out,G League - On Assignment,
"",,,"Thybulle, Matisse",Out,Injury/Illness - Right Shoulder; Soreness,
"",,Washington Wizards,,,NOT YET SUBMITTED,
03:00 (ET),BKN@CLE,Brooklyn Nets,,,NOT YET SUBMITTED,
Cleveland Cavaliers,"Rondo, Rajon",Out,Injury/Illness - Right Hamstring; Soreness,,,
"Rubio, Ricky",Out,Injury/Illness - Left Knee; ACL Tear,,,,
"Sexton, Collin",Out,Injury/Illness - Left Knee; Meniscal Tear,,,,
"Stevens, Lamar",Questionable,Injury/Illness - Left Knee; Soreness,,,,
Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
"",03:30 (ET),CHI@MEM,Chicago Bulls,,,NOT YET SUBMITTED
"",,Memphis Grizzlies,,,NOT YET SUBMITTED,
"",IND@LAC,Indiana Pacers,,,NOT YET SUBMITTED,
"",,LA Clippers,,,NOT YET SUBMITTED,
06:00 (ET),MIL@ATL,Atlanta Hawks,,,NOT YET SUBMITTED,
"",,Milwaukee Bucks,,,NOT YET SUBMITTED,
07:00 (ET),POR@ORL,Orlando Magic,,,NOT YET SUBMITTED,
"",,Portland Trail Blazers,,,NOT YET SUBMITTED,
07:30 (ET),TOR@MIA,Miami Heat,,,NOT YET SUBMITTED,
"",,Toronto Raptors,,,NOT YET SUBMITTED,
08:30 (ET),OKC@DAL,Dallas Mavericks,,,NOT YET SUBMITTED,
"",,Oklahoma City Thunder,,,NOT YET SUBMITTED,
"",PHX@SAS,Phoenix Suns,,,NOT YET SUBMITTED,
"",,San Antonio Spurs,,,NOT YET SUBMITTED,
10:30 (ET),UTA@LAL,Los Angeles Lakers,,,NOT YET SUBMITTED,
Utah Jazz,,,NOT YET SUBMITTED,,,
