slug_season,name_player,group_position,year_season,slug_position,is_season_current,slug_player_season,slug_player_bref,age_player,slug_team_bref,count_games,count_games_started,pct_fg,pct_fg3,pct_fg2,pct_efg,pct_ft,is_hof_player,slug_teams_bref,id_player_nba,url_player_thumbnail,url_player_headshot,url_player_photo,url_player_stats,url_player_action_photo,minutes_totals,fgm_totals,fga_totals,fg3m_totals,fg3a_totals,fg2m_totals,fg2a_totals,ftm_totals,fta_totals,orb_totals,drb_totals,trb_totals,ast_totals,stl_totals,blk_totals,tov_totals,pf_totals,pts_totals,count_teams_player_season_totals,minutes,ratio_per,pct_true_shooting,pct3p_rate,pct_ft_rate,pct_orb,pct_drb,pct_trb,pct_ast,pct_stl,pct_blk,pct_tov,pct_usg,ratio_ows,ratio_dws,ratio_ws,ratio_ws_per48,ratio_obpm,ratio_dbpm,ratio_bpm,ratio_vorp,count_teams_player_season,url_player_bref
2021-22,Precious Achiuwa,F,2022,PF,TRUE,achiupr01_2022,achiupr01,22,TOR,2,2,0.429,0.5,0.421,0.452,0.5,FALSE,TOR,1630173,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,https://stats.nba.com/player/1630173,https://stats.nba.com/media/players/700/1630173.png,43,9,21,1,2,8,19,2,4,6,16,22,2,3,0,1,4,21,1,43,20.2,0.461,0.095,0.19,0.115,0.39299999999999996,0.237,0.086,0.033,0,0.042,0.215,0,0.2,0.2,0.25,4,1.8,5.8,0,1,http://www.basketball-reference.com/players/a/achiupr01.html
2021-22,Steven Adams,C,2022,C,TRUE,adamsst01_2022,adamsst01,28,MEM,1,1,0.571,0,0.571,0.571,0,FALSE,MEM,203500,https://stats.nba.com/media/players/230x185/203500.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png,https://stats.nba.com/player/203500,https://stats.nba.com/media/players/700/203500.png,32,4,7,0,0,4,7,0,0,6,8,14,3,1,1,2,0,8,1,32,19.1,0.571,0,0,0.214,0.255,0.23600000000000002,0.096,0.015,0.027000000000000003,0.222,0.115,0.1,0,0.1,0.119,0,0,0,0,1,http://www.basketball-reference.com/players/a/adamsst01.html
2021-22,Bam Adebayo,C,2022,C,TRUE,adebaba01_2022,adebaba01,24,MIA,1,1,0.692,0,0.692,0.692,0.4,FALSE,MIA,1628389,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,https://stats.nba.com/player/1628389,https://stats.nba.com/media/players/700/1628389.png,23,9,13,0,0,9,13,2,5,4,9,13,1,1,0,3,3,20,1,23,30.6,0.658,0,0.385,0.19,0.361,0.28300000000000003,0.065,0.02,0,0.165,0.315,0.1,0.1,0.2,0.327,1.5,-0.4,1,0,1,http://www.basketball-reference.com/players/a/adebaba01.html
2021-22,LaMarcus Aldridge,C,2022,C,TRUE,aldrila01_2022,aldrila01,36,BRK,2,0,0.714,0,0.769,0.714,0.571,FALSE,BRK,200746,https://stats.nba.com/media/players/230x185/200746.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png,https://stats.nba.com/player/200746,https://stats.nba.com/media/players/700/200746.png,38,10,14,0,1,10,13,4,7,2,6,8,1,0,3,1,5,24,1,38,24.5,0.703,0.071,0.5,0.057999999999999996,0.163,0.11199999999999999,0.048,0,0.066,0.055,0.209,0.1,0,0.1,0.188,10.2,0.8,11.1,0.1,1,http://www.basketball-reference.com/players/a/aldrila01.html
2021-22,Nickeil Alexander-Walker,G,2022,SG,TRUE,alexani01_2022,alexani01,23,NOP,2,2,0.52,0.5,0.545,0.66,0.833,FALSE,NOP,1629638,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,https://stats.nba.com/player/1629638,https://stats.nba.com/media/players/700/1629638.png,66,13,25,7,14,6,11,5,6,2,8,10,2,5,3,4,4,38,1,66,21.5,0.687,0.56,0.24,0.031,0.139,0.081,0.047,0.036000000000000004,0.036000000000000004,0.126,0.207,0.1,0,0.1,0.102,0.5,1.1,1.6,0,1,http://www.basketball-reference.com/players/a/alexani01.html
2021-22,Grayson Allen,G,2022,SG,TRUE,allengr01_2022,allengr01,26,MIL,2,2,0.381,0.278,0.01,0.5,0.01,FALSE,MIL,1628960,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png,https://stats.nba.com/player/1628960,https://stats.nba.com/media/players/700/1628960.png,56,8,21,5,18,3,3,3,3,0,7,7,7,2,0,1,2,24,1,56,14.1,0.538,0.857,0.143,0,0.133,0.062,0.18100000000000002,0.016,0,0.043,0.172,0.1,0,0.1,0.071,-1,-5,-5.9,0,1,http://www.basketball-reference.com/players/a/allengr01.html
2021-22,Jarrett Allen,C,2022,C,TRUE,allenja01_2022,allenja01,23,CLE,2,2,0.941,0,0.941,0.941,0.8,FALSE,CLE,1628386,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,https://stats.nba.com/player/1628386,https://stats.nba.com/media/players/700/1628386.png,56,16,17,0,0,16,17,4,5,1,7,8,3,3,3,3,5,36,1,56,27.9,0.938,0,0.294,0.019,0.146,0.08,0.08199999999999999,0.025,0.040999999999999995,0.135,0.17,0.2,0,0.2,0.191,-2.1,-2.8,-4.9,0,1,http://www.basketball-reference.com/players/a/allenja01.html
2021-22,Kyle Anderson,F,2022,PF,TRUE,anderky01_2022,anderky01,28,MEM,1,0,0.429,0.4,0.5,0.571,0.01,FALSE,MEM,203937,https://stats.nba.com/media/players/230x185/203937.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png,https://stats.nba.com/player/203937,https://stats.nba.com/media/players/700/203937.png,22,3,7,2,5,1,2,2,2,0,7,7,4,2,0,0,2,10,1,22,24.5,0.635,0.714,0.286,0,0.325,0.172,0.188,0.043,0,0,0.147,0.1,0,0.1,0.264,0,0,0,0,1,http://www.basketball-reference.com/players/a/anderky01.html
2021-22,Giannis Antetokounmpo,F,2022,PF,TRUE,antetgi01_2022,antetgi01,27,MIL,2,2,0.444,0.286,0.483,0.472,0.684,FALSE,MIL,203507,https://stats.nba.com/media/players/230x185/203507.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,https://stats.nba.com/player/203507,https://stats.nba.com/media/players/700/203507.png,54,16,36,2,7,14,29,13,19,6,18,24,9,4,2,6,7,47,1,54,29.4,0.53,0.194,0.528,0.10300000000000001,0.35600000000000004,0.22,0.31,0.034,0.031,0.11900000000000001,0.385,0.1,0.1,0.2,0.147,1.8,0.1,1.9,0,1,http://www.basketball-reference.com/players/a/antetgi01.html
2021-22,Thanasis Antetokounmpo,F,2022,SF,TRUE,antetth01_2022,antetth01,29,MIL,2,0,0.8,0,0.8,0.8,0.8,FALSE,MIL,203648,https://stats.nba.com/media/players/230x185/203648.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png,https://stats.nba.com/player/203648,https://stats.nba.com/media/players/700/203648.png,30,4,5,0,0,4,5,4,5,2,6,8,2,0,1,1,5,12,1,30,18.3,0.833,0,0.01,0.062,0.213,0.132,0.095,0,0.027999999999999997,0.122,0.113,0.1,0,0.1,0.2,-3.8,-3.1,-7,0,1,http://www.basketball-reference.com/players/a/antetth01.html
