namePlayer,rangeDateFrom...2,rangeDateTo...3,idPlayer...4,slugTeam...5,idTeam...6,gp...7,pctWins...8,fgm...9,fga...10,pctFG...11,fg3m,fg3a,pctFG3,pctFT,gpRank...16,pctWinsRank...17,minutesRank...18,fgmRank...19,fgaRank...20,pctFGRank...21,fg3mRank,fg3aRank,pctFG3Rank,pctFTRank,fg2m,fg2a,pctFG2,wins...29,losses...30,minutes...31,ftm,fta,oreb,dreb,treb,ast,tov,stl,blk,blka,pf,pfd,pts,plusminus,fptsNBAActual,dd2,winsRank...48,lossesRank...49,rankFTM,rankFTA,orebRank,drebRank,trebRank,astRank,tovRank,stlRank,blkRank,blkaRank,pfRank,pfdRank,ptsRank,plusminusRank,fptsRank,dd2Rank,td3Rank,td3,rangeDateFrom...68,rangeDateTo...69,idPlayer...70,slugTeam...71,idTeam...72,gp...73,pctWins...74,pctAST,pctOREB,pctDREB,pctTREB,pctTOVTeam,pctTOVE,pctEFG,pctTS,pctUSG,pctUSGE,fgm...85,fga...86,fgmPerGame,fgaPerGame,pctFG...89,gpRank...90,pctWinsRank...91,minutesRank...92,pctASTRank,pctOREBRank,pctDREBRank,pctTREBRank,pctTOVTmRank,pctEFGRank,pctTSRank,pctUSGRank,fgmRank...101,fgaRank...102,fgmPerGameRank,fgaPerGameRank,pctFGRank...105,wins...106,losses...107,minutes...108,ortgE,ortg,removeOFF_RATING,drtgE,drtg,removeDEF_RATING,netrtgE,netrtg,removeNET_RATING,ratioASTtoTO,ratioAST,paceE,pace,pacePer40PACE_PER40,removePACE,ratioPIE,possessions,winsRank...126,lossesRank...127,rankORTGE,ortgRank,removeOFF_RATING_RANK,rankDRTGE,drtgRank,removeDEF_RATING_RANK,rankNTRGE,netrtgRank,removeNET_RATING_RANK,ratioASTtoTORank,ratioASTRank,rankPCTOVE,rankPCTUSGE,rankPACEE,paceRank,removePACE_RANK,pieRank
LeBron James,10/19/2021,11/21/2021,2544,LAL,1610612747,8,0.625,12,24.6,0.49,3.6,10,0.36,0.76,1,1,1,1,1,1,1,1,1,1,8.4,14.600000000000001,0.5753424657534246,5,3,46.8,3.2,4.2,0.7,6.1,6.8,8.3,5.1,2.7,0.8,0.5,3.1,6.3,30.8,-0.7,57,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,2544,LAL,1610612747,8,0.625,0.271,0.015,0.13,0.073,12.9,12.8,0.562,0.583,0.277,0.284,71,145,8.9,18.1,0.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,34.5,110.8,112.7,112.7,110.2,113,113,0.5,-0.3,-0.3,1.63,21,105.04,102.84,85.7,102.84,0.137,590,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carmelo Anthony,10/19/2021,11/21/2021,2546,LAL,1610612747,18,0.5,8.5,18,0.473,4.8,10.3,0.4660194174757281,0.816,1,1,1,1,1,1,1,1,1,1,3.7,7.699999999999999,0.48051948051948057,9,9,46.6,2.8,3.4,0.9,5.6,6.5,1.3,1.4,1.3,1.3,0.3,3.8,2.5,24.6,-1.5,40.7,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,2546,LAL,1610612747,18,0.5,0.042,0.02,0.108,0.067,6.5,6.4,0.604,0.629,0.188,0.194,95,201,5.3,11.2,0.473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,28.8,109.4,108.6,108.6,108.9,110.4,110.4,0.5,-1.8,-1.8,0.94,6,103.32,102.96,85.8,102.96,0.096,1115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dwight Howard,10/19/2021,11/21/2021,2730,LAL,1610612747,16,0.438,5.8,9,0.643,1.1,1.5,0.7333333333333334,0.615,1,1,1,1,1,1,1,1,1,1,4.699999999999999,7.5,0.6266666666666666,7,9,46.8,5.2,8.4,4.5,12.3,16.8,1.3,3.4,3,2.4,1.1,6.2,7.1,17.8,-4.1,52.6,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,2730,LAL,1610612747,16,0.438,0.039,0.095,0.237,0.169,19.5,19.7,0.702,0.701,0.147,0.149,27,42,1.7,2.6,0.643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,13.6,103.8,104.5,104.5,106.6,107.7,107.7,-2.8,-3.2,-3.2,0.38,7.3,103.95,103.09,85.9,103.09,0.119,465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andre Iguodala,10/19/2021,11/21/2021,2738,GSW,1610612744,12,0.833,3.4,8.2,0.419,1,4.4,0.22727272727272727,0.667,1,1,1,1,1,1,1,1,1,1,2.4,3.799999999999999,0.6315789473684212,10,2,47.7,0.8,1.1,1.5,6.5,8,8.6,1.7,1.7,1.9,0.2,2.3,3.2,8.6,21.4,40.2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,2738,GSW,1610612744,12,0.833,0.236,0.032,0.119,0.079,9,9,0.477,0.493,0.093,0.095,18,43,1.5,3.6,0.419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,20.8,109.9,110.1,110.1,87.4,88.6,88.6,22.5,21.5,21.5,5,45,101.55,100.8,84,100.8,0.105,524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chris Paul,10/19/2021,11/21/2021,101108,PHX,1610612756,16,0.813,7.3,15.7,0.467,1.5,4.6,0.32608695652173914,0.864,1,1,1,1,1,1,1,1,1,1,5.8,11.1,0.5225225225225225,13,3,47.3,4.7,5.5,0.6,5.6,6.1,15.9,3.3,3.4,0.6,0.2,3,5,20.9,7.2,60.8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,101108,PHX,1610612756,16,0.813,0.443,0.012,0.107,0.062,9,9,0.515,0.577,0.195,0.199,79,169,4.9,10.6,0.467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,31.8,112.2,112,112,103.3,104.6,104.6,8.9,7.4,7.4,4.75,42.5,102.13,101.53,84.61,101.53,0.153,1075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LaMarcus Aldridge,10/19/2021,11/21/2021,200746,BKN,1610612751,16,0.688,12.7,22.4,0.565,1.3,3.1,0.41935483870967744,0.774,1,1,1,1,1,1,1,1,1,1,11.399999999999999,19.299999999999997,0.5906735751295337,11,5,48,3.5,4.5,3.6,9,12.7,2.2,1.7,0.7,2.8,0.9,3.8,4.4,30.2,5.5,57.4,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,200746,BKN,1610612751,16,0.688,0.078,0.078,0.169,0.126,6.2,6.2,0.594,0.617,0.236,0.244,87,154,5.4,9.6,0.565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,5,20.6,111.7,110.8,110.8,105.3,107,107,6.5,3.8,3.8,1.25,7.7,99.61,99.23,82.7,99.23,0.149,686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajon Rondo,10/19/2021,11/21/2021,200765,LAL,1610612747,13,0.308,4.1,13.6,0.3,1.6,5.4,0.2962962962962963,NA,1,1,1,1,1,1,1,1,1,1,2.4999999999999996,8.2,0.3048780487804878,4,9,45.2,NA,NA,1.6,4.8,6.3,11.1,5,2.5,0.7,0.9,4.3,1.4,9.8,-5.9,38.6,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,200765,LAL,1610612747,13,0.308,0.35,0.03,0.096,0.063,16.8,16.8,0.358,0.358,0.164,0.17,18,60,1.4,4.6,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,15.3,97.7,97.3,97.3,103.9,103.6,103.6,-6.2,-6.4,-6.4,2.23,37.4,105.52,105.88,88.23,105.88,0.06,441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kyle Lowry,10/19/2021,11/21/2021,200768,MIA,1610612748,15,0.667,6,14.7,0.408,2.7,8.8,0.3068181818181818,0.885,1,1,1,1,1,1,1,1,1,1,3.3,5.899999999999999,0.5593220338983051,10,5,48.2,2.1,2.4,0.7,6.2,6.8,10.6,4.2,1.6,0.4,0.3,3.7,3.5,16.8,6.6,42.6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10/19/2021,11/21/2021,200768,MIA,1610612748,15,0.667,0.315,0.013,0.12,0.068,13.8,13.7,0.5,0.534,0.173,0.178,64,157,4.3,10.5,0.408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,5,34.4,108.6,110.1,110.1,102.3,102.7,102.7,6.3,7.4,7.4,2.53,35,100.7,99.87,83.22,99.87,0.102,1071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P.J. Tucker,10/19/2021,11/21/2021,200782,MIA,1610612748,17,0.647,5.1,9.1,0.557,2.2,4.7,0.46808510638297873,0.818,1,1,1,1,1,1,1,1,1,1,2.8999999999999995,4.3999999999999995,0.6590909090909091,11,6,50.1,0.9,1.1,3.4,7.4,10.8,2.8,1.8,1,0.3,0.5,4.6,2.4,13.3,9.7,32.7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,200782,MIA,1610612748,17,0.647,0.079,0.067,0.147,0.107,12.4,12.4,0.676,0.689,0.099,0.1,49,88,2.9,5.2,0.557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,6,28.4,110.5,113.4,113.4,102.1,102.7,102.7,8.4,10.7,10.7,1.59,19.7,97.72,96.23,80.19,96.23,0.085,965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paul Millsap,10/19/2021,11/21/2021,200794,BKN,1610612751,12,0.667,4.5,12.1,0.375,1.5,6,0.25,0.727,1,1,1,1,1,1,1,1,1,1,3,6.1,0.49180327868852464,8,4,48.5,3,4.2,2.6,11.7,14.3,3.8,2.3,0.8,1.5,0.4,8.7,3,13.6,7.5,41,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10/19/2021,11/21/2021,200794,BKN,1610612751,12,0.667,0.123,0.051,0.196,0.129,11.3,11.4,0.438,0.489,0.147,0.151,12,32,1,2.7,0.375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,10.7,104,102.6,102.6,93.7,95.5,95.5,10.3,7.2,7.2,1.67,18.9,99.16,98.85,82.38,98.85,0.071,265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
