Rk.   Player Name               Team       Scoring Rtg     GP    MPG   PPG   FG%/3P%/FT%          TSA/G
1     Stephen Curry             GSW        92.10499338     12    35.2  32.8  52.6/43.4/91.8       23.6 
2     Donovan Mitchell          CLE        81.76941021     11    39.1  31.6  51.3/43.4/87.5       24.4 
3     Jayson Tatum              BOS        80.90485902     13    37.5  32.3  50.0/38.7/87.2       24.7 
4     Luka Doncic               DAL        80.64940577     12    36.9  34.3  49.6/28.6/74.8       28.6 
5     Joel Embiid               PHI        78.48493772     10    35.2  32.3  53.7/23.7/83.1       25.3 
6     Giannis Antetokounmpo     MIL        77.18144364     9     32.7  31.8  54.2/26.7/64.9       26.5 
7     Shai Gilgeous-Alexander   OKC        75.84555408     12    35.9  31.1  54.3/36.4/93.4       24.5 
8     Kevin Durant              BKN        74.98527181     13    37.0  30.5  52.5/34.4/92.1       23.6 
9     Damian Lillard            POR        72.21241956     8     35.4  28.6  46.8/39.7/86.8       21.8 
10    De'Aaron Fox              SAC        70.50664687     11    32.7  25.5  54.8/37.5/83.0       20.0 
11    Ja Morant                 MEM        69.97717396     12    32.9  28.8  48.0/41.0/78.8       24.6 
12    Desmond Bane              MEM        64.79672829     12    33.5  24.7  46.5/45.1/91.2       19.8 
13    Devin Booker              PHX        63.2471258      12    36.4  26.7  47.5/38.4/86.8       22.6 
14    Nikola Jokic              DEN        61.42549546     13    31.1  20.8  60.6/28.6/87.5       15.2 
15    Zion Williamson           NOP        61.07000239     11    32.2  23.5  56.6/50.0/71.6       19.1 
16    Keldon Johnson            SAS        60.91800328     12    34.0  23.6  46.2/42.9/76.7       19.5 
17    Jaylen Brown              BOS        60.88178063     12    36.4  25.3  47.9/35.7/84.7       21.7 
18    Lauri Markkanen           UTA        60.32734355     15    33.1  21.8  52.6/34.4/83.9       17.3 
19    Paul George               LAC        59.50038779     12    35.6  24.7  46.3/35.1/83.9       21.2 
20    Kyrie Irving              BKN        59.35727953     8     38.7  26.9  45.3/28.0/92.7       23.8 
21    Bojan Bogdanovic          DET        58.60649242     14    31.0  20.3  50.5/43.0/92.1       15.1 
22    Michael Porter Jr.        DEN        57.62805157     12    29.1  18.0  49.7/48.3/85.0       13.8 
23    Devin Vassell             SAS        57.11941357     9     31.6  21.0  47.0/43.5/76.0       17.8 
24    Christian Wood            DAL        56.96695162     10    24.7  15.9  57.4/41.9/68.2       12.0 
25    Kristaps Porzingis        WAS        56.61087008     13    31.0  20.5  48.9/38.7/80.6       16.7 
26    Pascal Siakam             TOR        56.42021067     9     35.6  24.8  47.9/34.2/72.5       21.9 
27    Karl-Anthony Towns        MIN        55.87303408     14    34.3  21.3  51.5/36.7/89.1       16.7 
28    Buddy Hield               IND        55.62272241     12    31.5  18.8  46.9/40.8/86.7       15.1 
29    Anthony Davis             LAL        55.59810312     11    34.6  23.1  53.4/25.0/76.2       19.7 
30    Bradley Beal              WAS        55.36200278     9     35.1  21.6  51.7/32.5/91.7       17.6 
